Rank,Title,Author,Rating_raw,Score_raw,Link,Description,Genre_list,Page_raw,Publication_raw,CurrentlyRead_raw,toRead_raw,AuthorStats_raw,Rating5_raw,Rating4_raw,Rating3_raw,Rating2_raw,Rating1_raw
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins," 4.34 avg rating — 9,459,570 ratings","score: 4,132,439",https://www.goodreads.com/book/show/2767052-the-hunger-games,"Winning means fame and fortune. Losing means certain death. The Hunger Games have begun. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before-and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weigh survival against humanity and life against love.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Dystopia'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Adventure'}]","374 pages, Hardcover","First published September 14, 2008",103978 people are currently reading,1754961 people want to read,56 books116k followers,"5,164,737 (54%)","2,875,415 (30%)","1,059,153 (11%)","232,665 (2%)","127,555 (1%)"
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling," 4.50 avg rating — 3,652,588 ratings","score: 3,232,616",https://www.goodreads.com/book/show/58613451-harry-potter-and-the-order-of-the-phoenix,"It's official: the evil Lord Voldemort has returned. His influence is suddenly everywhere in the Wizarding world, and his former allies, the Death Eaters, are returning to his side in droves. In response, the Order of the Phoenix, which worked to stop him during his last rise to power, has reconvened. This time, all of the adults Harry trusts have joined in. And even though Harry is at the center of many of their plans - Voldemort is intent on killing him, after all - they want so badly to protect him that they are keeping him completely out of the loop. Problems are cropping up at Hogwarts, too, where government officials are meddling in just about everything. And just because Voldemort and the Death Eaters are threatening open warfare does not mean that fifth-year students get out of their exams. Meanwhile, Harry's powerful connection to Voldemort seems to be growing even stronger, as he realizes that he has direct access to the Dark Lord's mind. It's time for Harry and his friends to take drastic action, but the course they choose will have terrible unforeseen consequences. Truly dangerous times have arrived in the fifth Harry Potter novel, but it never loses the trademark fun, excitement, and wonder at the possibilities of magic.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Magic'}, {'Genre_list': 'Audiobook'}, {'Genre_list': 'Childrens'}, {'Genre_list': 'Adventure'}]","896 pages, Hardcover","First published June 21, 2003",83536 people are currently reading,574815 people want to read,597 books231k followers,"2,338,144 (64%)","921,747 (25%)","314,261 (8%)","55,020 (1%)","23,429 (<1%)"
3,Pride and Prejudice,Jane Austen," 4.29 avg rating — 4,567,522 ratings","score: 2,864,734",https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,"Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.Alternate cover edition of ISBN 9780679783268","[{'Genre_list': 'Classics'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Audiobook'}]","279 pages, Paperback","First published January 28, 1813",234657 people are currently reading,2540377 people want to read,"3,629 books71.7k followers","2,514,462 (55%)","1,241,104 (27%)","545,328 (11%)","160,251 (3%)","106,354 (2%)"
4,To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 6,614,685 ratings","score: 2,540,956",https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,"""Shoot all the bluejays you want, if you can hit 'em, but remember it's a sin to kill a mockingbird.""A lawyer's advice to his children as he defends the real mockingbird of Harper Lee's classic novel - a black man charged with the rape of a white girl. Through the young eyes of Scout and Jem Finch, Harper Lee explores with exuberant humour the irrationality of adult attitudes to race and class in the Deep South of the 1930s. The conscience of a town steeped in prejudice, violence and hypocrisy is pricked by the stamina of one man's struggle for justice. But the weight of history will only tolerate so much.""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'School'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Historical'}]","323 pages, Paperback","First published July 11, 1960",94001 people are currently reading,2635637 people want to read,43 books14.2k followers,"3,410,965 (51%)","1,978,559 (29%)","875,095 (13%)","229,326 (3%)","120,710 (1%)"
5,The Book Thief,Markus Zusak," 4.39 avg rating — 2,772,833 ratings","score: 1,918,977",https://www.goodreads.com/book/show/19063.The_Book_Thief,"Librarian's note: An alternate cover edition can be found hereIt is 1939. Nazi Germany. The country is holding its breath. Death has never been busier, and will be busier still.By her brother's graveside, Liesel's life is changed when she picks up a single object, partially hidden in the snow. It is The Gravedigger's Handbook, left behind there by accident, and it is her first act of book thievery. So begins a love affair with books and words, as Liesel, with the help of her accordian-playing foster father, learns to read. Soon she is stealing books from Nazi book-burnings, the mayor's wife's library, wherever there are books to be found.But these are dangerous times. When Liesel's foster family hides a Jew in their basement, Liesel's world is both opened up, and closed down.In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time.(Note: this title was not published as YA fiction)","[{'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'War'}]","592 pages, Kindle Edition","First published September 1, 2005",98110 people are currently reading,2228580 people want to read,35 books40.4k followers,"1,608,394 (58%)","778,786 (28%)","272,550 (9%)","77,753 (2%)","35,346 (1%)"
6,"Twilight (The Twilight Saga, #1)",Stephenie Meyer," 3.67 avg rating — 7,059,852 ratings","score: 1,730,295",https://www.goodreads.com/book/show/41865.Twilight,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him - and I didn't know how dominant that part might be - that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Vampires'}, {'Genre_list': 'Paranormal'}, {'Genre_list': 'Paranormal Romance'}]","498 pages, Paperback","First published October 5, 2005",56812 people are currently reading,1377170 people want to read,127 books78.7k followers,"2,533,559 (35%)","1,665,531 (23%)","1,486,341 (21%)","714,573 (10%)","659,826 (9%)"
7,Animal Farm,George Orwell,"really liked it 4.00 avg rating — 4,286,771 ratings","score: 1,650,833",https://www.goodreads.com/book/show/170448.Animal_Farm,"Librarian's note: There is an Alternate Cover Edition for this edition of this book here.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned –a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell’s masterpiece have a meaning and message still ferociously fresh.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Dystopia'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'School'}, {'Genre_list': 'Politics'}, {'Genre_list': 'Literature'}]","141 pages, Mass Market Paperback","First published August 17, 1945",58936 people are currently reading,1458702 people want to read,"1,365 books48.3k followers","1,631,275 (38%)","1,508,235 (35%)","798,687 (18%)","231,030 (5%)","117,546 (2%)"
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien," 4.61 avg rating — 140,537 ratings","score: 1,603,106",https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,"These magical adaptations became instant classics when they were first broadcast on BBC Radio 4, and continue to delight today. Tolkien's epic tale of Middle-earth has all the classic ingredients of fantasy and adventure: dwarves, elves, goblins and trolls, a terrifying dragon, a great wizard, a fearsome evil, a perilous quest and a dramatic climax. With an all-star cast including Ian Holm, Michael Hordern, Robert Stephens, John le Mesurier and Bill Nighy, these enchanting dramatisations are a must for all Tolkien fans. 'For those who find the books too long-winded and the films too noisy, this is the perfect way to assimilate the myth and magic of Middle-earth' - Guardian.19 CDs. 17 hrs 30 mins.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Adventure'}, {'Genre_list': 'Science Fiction Fantasy'}, {'Genre_list': 'Epic Fantasy'}, {'Genre_list': 'High Fantasy'}]","1728 pages, Mass Market Paperback","First published January 1, 1954",2897 people are currently reading,87923 people want to read,516 books75.3k followers,"101,381 (72%)","28,183 (20%)","7,945 (5%)","1,838 (1%)","1,190 (<1%)"
9,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis," 4.28 avg rating — 690,938 ratings","score: 1,501,234",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,"Librarian note: An alternate cover for this edition can be found here: 2005.Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.This edition presents all seven books—unabridged—in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Childrens'}, {'Genre_list': 'Christian'}, {'Genre_list': 'Adventure'}]","767 pages, Paperback","First published January 1, 1956",19248 people are currently reading,323960 people want to read,"1,260 books45.9k followers","348,512 (50%)","220,192 (31%)","95,959 (13%)","19,544 (2%)","6,729 (<1%)"
10,The Fault in Our Stars,John Green," 4.13 avg rating — 5,525,572 ratings","score: 1,390,805",https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Realistic Fiction'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Coming Of Age'}]","313 pages, Hardcover","First published January 10, 2012",67480 people are currently reading,1954826 people want to read,89 books311k followers,"2,533,722 (45%)","1,674,166 (30%)","926,661 (16%)","262,109 (4%)","128,909 (2%)"
11,The Picture of Dorian Gray,Oscar Wilde," 4.13 avg rating — 1,749,900 ratings","score: 1,320,518",https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,"In this celebrated work, his only novel, Wilde forged a devastating portrait of the effects of evil and debauchery on a young aesthete in late-19th-century England. Combining elements of the Gothic horror novel and decadent French fiction, the book centers on a striking premise: As Dorian Gray sinks into a life of crime and gross sensuality, his body retains perfect youth and vigor while his recently painted portrait grows day by day into a hideous record of evil, which he must keep hidden from the world. For over a century, this mesmerizing tale of horror and suspense has enjoyed wide popularity. It ranks as one of Wilde's most important creations and among the classic achievements of its kind.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Horror'}, {'Genre_list': 'Gothic'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Dark Academia'}]","272 pages, Paperback","First published June 1, 1890",115517 people are currently reading,1532407 people want to read,"5,650 books37.7k followers","726,775 (41%)","638,818 (36%)","294,963 (16%)","67,288 (3%)","22,057 (1%)"
12,The Giving Tree,Shel Silverstein," 4.38 avg rating — 1,199,769 ratings","score: 1,219,606",https://www.goodreads.com/book/show/370493.The_Giving_Tree,"""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.","[{'Genre_list': 'Childrens'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Picture Books'}, {'Genre_list': 'Poetry'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Fantasy'}]","64 pages, Hardcover","First published January 1, 1964",7214 people are currently reading,480303 people want to read,137 books10.3k followers,"752,554 (62%)","256,407 (21%)","121,606 (10%)","37,589 (3%)","31,613 (2%)"
13,Wuthering Heights,Emily Brontë," 3.90 avg rating — 1,938,294 ratings","score: 1,216,184",https://www.goodreads.com/book/show/6185.Wuthering_Heights,"You can find the redesigned cover of this edition HERE.At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition, the editor has collated the 1847 text with several modern editions and has corrected a number of variants, including accidentals. The text is accompanied by entirely new explanatory annotations.New to the fourth Edition are twelve of Emily Bronte's letters regarding the publication of the 1847 edition of Wuthering Heights as well as the evolution of the 1850 edition, prose and poetry selections by the author, four reviews of the novel, and poetry selections by the author, four reviews of the novel, and Edward Chitham's insightful and informative chronology of the creative process behind the beloved work.Five major critical interpretations of Wuthering Heights are included, three of them new to the Fourth Edition. A Stuart Daley considers the importance of chronology in the novel. J. Hillis Miller examines Wuthering Heights's problems of genre and critical reputation. Sandra M. Gilbert assesses the role of Victorian Christianity plays in the novel, while Martha Nussbaum traces the novel's romanticism. Finally, Lin Haire-Sargeant scrutinizes the role of Heathcliff in film adaptations of Wuthering Heights. A Chronology and updated Selected Bibliography are also included.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Gothic'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Novels'}, {'Genre_list': '19th Century'}]","464 pages, Paperback","First published December 1, 1847",97194 people are currently reading,1406047 people want to read,"1,288 books12.7k followers","716,754 (36%)","602,981 (31%)","396,757 (20%)","145,873 (7%)","75,918 (3%)"
14,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan," 4.31 avg rating — 3,297,759 ratings","score: 1,198,576",https://www.goodreads.com/book/show/28187.The_Lightning_Thief,"Alternate cover for this ISBN can be found herePercy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse - Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena - Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Mythology'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Middle Grade'}, {'Genre_list': 'Adventure'}, {'Genre_list': 'Greek Mythology'}]","377 pages, Paperback","First published July 28, 2005",62692 people are currently reading,998540 people want to read,313 books445k followers,"1,731,196 (52%)","1,017,498 (30%)","428,158 (12%)","85,287 (2%)","35,600 (1%)"
15,Gone with the Wind,Margaret Mitchell," 4.31 avg rating — 1,253,039 ratings","score: 1,182,922",https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,"Scarlett O'Hara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Historical'}, {'Genre_list': 'Literature'}, {'Genre_list': 'War'}]","1037 pages, Mass Market Paperback","First published June 30, 1936",20801 people are currently reading,898260 people want to read,"220 books3,006 followers","714,091 (56%)","316,833 (25%)","150,661 (12%)","43,797 (3%)","27,659 (2%)"
16,The Perks of Being a Wallflower,Stephen Chbosky," 4.23 avg rating — 1,927,086 ratings","score: 1,157,261",https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,"standing on the fringes of life...offers a unique perspective. But there comes a time to seewhat it looks like from the dance floor.This haunting novel about the dilemma of passivity vs. passion marks the stunning debut of a provocative new voice in contemporary fiction: The Perks of Being A WALLFLOWERThis is the story of what it's like to grow up in high school. More intimate than a diary, Charlie's letters are singular and unique, hilarious and devastating. We may not know where he lives. We may not know to whom he is writing. All we know is the world he shares. Caught between trying to live his life and trying to run from it puts him on a strange course through uncharted territory. The world of first dates and mixed tapes, family dramas and new friends. The world of sex, drugs, and The Rocky Horror Picture Show, when all one requires is that the perfect song on that perfect drive to feel infinite.Through Charlie, Stephen Chbosky has created a deeply affecting coming-of-age story, a powerful novel that will spirit you back to those wild and poignant roller coaster days known as growing up.(back cover)","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Coming Of Age'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Mental Health'}, {'Genre_list': 'Realistic Fiction'}]","213 pages, Hardcover","First published February 1, 1999",34315 people are currently reading,1123454 people want to read,12 books13.5k followers,"946,681 (49%)","607,651 (31%)","277,386 (14%)","69,601 (3%)","25,769 (1%)"
17,The Little Prince,Antoine de Saint-Exupéry," 4.33 avg rating — 2,337,299 ratings","score: 1,123,147",https://www.goodreads.com/book/show/157993.The_Little_Prince,"A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.Few stories are as widely read and as universally cherished by children and adults alike as The Little Prince, presented here in a stunning new translation with carefully restored artwork. The definitive edition of a worldwide classic, it will capture the hearts of readers of all ages.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Childrens'}, {'Genre_list': 'France'}, {'Genre_list': 'Philosophy'}, {'Genre_list': 'Young Adult'}]","96 pages, Hardcover","First published April 6, 1943",39212 people are currently reading,878640 people want to read,"1,336 books8,471 followers","1,333,797 (57%)","602,413 (25%)","282,569 (12%)","79,804 (3%)","38,708 (1%)"
18,Jane Eyre,Charlotte Brontë," 4.15 avg rating — 2,236,917 ratings","score: 1,113,911",https://www.goodreads.com/book/show/10210.Jane_Eyre,"Alternate editions can be found here and here.A gothic masterpiece of tempestuous passions and dark secrets, Charlotte Brontë's Jane Eyre is edited with an introduction and notes by Stevie Davis in Penguin Classics.Charlotte Brontë tells the story of orphaned Jane Eyre, who grows up in the home of her heartless aunt, enduring loneliness and cruelty. This troubled childhood strengthens Jane's natural independence and spirit - which prove necessary when she finds employment as a governess to the young ward of Byronic, brooding Mr Rochester. As her feelings for Rochester develop, Jane gradually uncovers Thornfield Hall's terrible secret, forcing her to make a choice. Should she stay with Rochester and live with the consequences, or follow her convictions - even if it means leaving the man she loves? A novel of intense power and intrigue, Jane Eyre dazzled readers with its passionate depiction of a woman's search for equality and freedom.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Gothic'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Historical'}]","532 pages, Paperback","First published October 16, 1847",85477 people are currently reading,1507542 people want to read,"1,859 books18.2k followers","1,046,387 (46%)","695,577 (31%)","342,397 (15%)","99,154 (4%)","53,395 (2%)"
19,The Great Gatsby,F. Scott Fitzgerald," 3.93 avg rating — 5,662,307 ratings","score: 1,083,513",https://www.goodreads.com/book/show/4671.The_Great_Gatsby,"The only edition of the beloved classic that is authorized by Fitzgerald’s family and from his lifelong publisher.This edition is the enduring original text, updated with the author’s own revisions, a foreword by his granddaughter, and with a new introduction by National Book Award winner Jesmyn Ward.The Great Gatsby, F. Scott Fitzgerald’s third book, stands as the supreme achievement of his career. First published by Scribner in 1925, this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan is an exquisitely crafted tale of America in the 1920s.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'School'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Novels'}]","180 pages, Paperback","First published April 10, 1925",76425 people are currently reading,1909652 people want to read,"1,715 books24.9k followers","1,997,401 (35%)","1,922,987 (33%)","1,221,618 (21%)","364,161 (6%)","156,151 (2%)"
20,Crime and Punishment,Fyodor Dostoevsky," 4.28 avg rating — 1,006,760 ratings","score: 1,021,375",https://www.goodreads.com/book/show/7144.Crime_and_Punishment,"Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden sex worker, can offer the chance of redemption.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Russia'}, {'Genre_list': 'Russian Literature'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Philosophy'}, {'Genre_list': 'Novels'}, {'Genre_list': 'Crime'}]","671 pages, Paperback","First published January 1, 1866",124292 people are currently reading,1221384 people want to read,"3,210 books66.6k followers","531,015 (52%)","298,154 (29%)","123,385 (12%)","36,735 (3%)","17,466 (1%)"
21,"The da Vinci Code (Robert Langdon, #2)",Dan    Brown," 3.93 avg rating — 2,459,238 ratings","score: 1,011,371",https://www.goodreads.com/book/show/968.The_da_Vinci_Code,"Alternate covers for 9780307277671 can be found:The da Vinci Code, The da Vinci Code, The da Vinci Code, and The da Vinci CodeWhile in Paris on business, Harvard symbologist Robert Langdon receives an urgent late-night phone call: the elderly curator of the Louvre has been murdered inside the museum. Near the body, police have found a baffling cipher. While working to solve the enigmatic riddle, Langdon is stunned to discover it leads to a trail of clues hidden in the works of Da Vinci -- clues visible for all to see -- yet ingeniously disguised by the painter.Langdon joins forces with a gifted French cryptologist, Sophie Neveu, and learns the late curator was involved in the Priory of Sion -- an actual secret society whose members included Sir Isaac Newton, Botticelli, Victor Hugo, and Da Vinci, among others. In a breathless race through Paris, London, and beyond, Langdon and Neveu match wits with a faceless powerbroker who seems to anticipate their every move. Unless Langdon and Neveu can decipher the labyrinthine puzzle in time, the Priory's ancient secret -- and an explosive historical truth -- will be lost forever.The Da Vinci Code heralds the arrival of a new breed of lightning-paced, intelligent thriller utterly unpredictable right up to its stunning conclusion.","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Thriller'}, {'Genre_list': 'Mystery Thriller'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Suspense'}, {'Genre_list': 'Adventure'}]","489 pages, Paperback","First published January 1, 2003",25341 people are currently reading,577874 people want to read,87 books106k followers,"887,630 (36%)","844,948 (34%)","477,800 (19%)","160,883 (6%)","87,969 (3%)"
22,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll," 4.06 avg rating — 593,038 ratings","score: 991,192",https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,"""I can't explain myself, I'm afraid, sir,"" said Alice, ""Because I'm not myself, you see.""When Alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it, and a sequence of most unusual events is set in motion. This mini book contains the entire topsy-turvy stories of Alice's Adventures in Wonderland and Through the Looking-Glass, accompanied by practical notes and Martina Pelouso's memorable full-colour illustrations.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Childrens'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Adventure'}]","239 pages, Paperback","First published December 27, 1871",24626 people are currently reading,338863 people want to read,"5,490 books8,218 followers","236,460 (39%)","202,574 (34%)","118,516 (19%)","26,995 (4%)","8,492 (1%)"
23,"Divergent (Divergent, #1)",Veronica Roth," 4.14 avg rating — 4,249,730 ratings","score: 984,498",https://www.goodreads.com/book/show/13335037-divergent,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Dystopia'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Teen'}]","487 pages, Paperback","First published April 25, 2011",46295 people are currently reading,1204707 people want to read,64 books462k followers,"1,949,964 (45%)","1,312,333 (30%)","694,964 (16%)","199,704 (4%)","92,754 (2%)"
