Rank,Title,Author,Rating_raw,Score_raw,Link,Description,Genre_list,Page_raw,Publication_raw,CurrentlyRead_raw,toRead_raw,AuthorStats_raw,Rating5_raw,Rating4_raw,Rating3_raw,Rating2_raw,Rating1_raw
224,Thirteen Reasons Why,Jay Asher," 3.84 avg rating — 1,009,099 ratings","score: 77,575",https://www.goodreads.com/book/show/29844228-thirteen-reasons-why,"You can’t stop the future. You can’t rewind the past.The only way to learn the secret . . . is to press play.Clay Jensen returns home from school to find a strange package with his name on it lying on his porch. Inside he discovers several cassette tapes recorded by Hannah Baker–his classmate and crush–who committed suicide two weeks earlier. Hannah’s voice tells him that there are thirteen reasons why she decided to end her life. Clay is one of them. If he listens, he’ll find out why. Clay spends the night crisscrossing his town with Hannah as his guide. He becomes a firsthand witness to Hannah’s pain, and as he follows Hannah’s recorded words throughout his town, what he discovers changes his life forever.","[{'Genre_list': 'Young Adult'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Realistic Fiction'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Mental Health'}, {'Genre_list': 'Teen'}]","352 pages, Hardcover","First published October 18, 2007",21170 people are currently reading,513466 people want to read,21 books10.7k followers,"351,948 (34%)","310,700 (30%)","221,107 (21%)","83,243 (8%)","42,098 (4%)"
225,The World According to Garp,John Irving," 4.11 avg rating — 234,957 ratings","score: 77,447",https://www.goodreads.com/book/show/7069.The_World_According_to_Garp,"This is the life and times of T. S. Garp, the bastard son of Jenny Fields—a feminist leader ahead of her times. This is the life and death of a famous mother and her almost-famous son; theirs is a world of sexual extremes—even of sexual assassinations. It is a novel rich with ""lunacy and sorrow""; yet the dark, violent events of the story do not undermine a comedy both ribald and robust. In more than thirty languages, in more than forty countries—with more than ten million copies in print—this novel provides almost cheerful, even hilarious evidence of its famous last line: ""In the world according to Garp, we are all terminal cases.""","[{'Genre_list': 'Fiction'}, {'Genre_list': 'Classics'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Contemporary'}, {'Genre_list': 'Novels'}, {'Genre_list': 'Literary Fiction'}, {'Genre_list': 'Humor'}]","610 pages, Hardcover","First published April 24, 1978",3464 people are currently reading,106576 people want to read,170 books15.6k followers,"94,392 (40%)","88,014 (37%)","39,181 (16%)","9,624 (4%)","3,746 (1%)"
226,Mystic River,Dennis Lehane," 4.17 avg rating — 155,589 ratings","score: 76,991",https://www.goodreads.com/book/show/21671.Mystic_River,"When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever.Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into conflict with Jimmy, who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave, who came home the night Jimmy's daughter died covered in someone else's blood.A tense and unnerving psychological thriller, Mystic River is also an epic novel of love and loyalty, faith and family, in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.","[{'Genre_list': 'Mystery'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Thriller'}, {'Genre_list': 'Crime'}, {'Genre_list': 'Mystery Thriller'}, {'Genre_list': 'Suspense'}, {'Genre_list': 'Book Club'}]","416 pages, Paperback","First published January 1, 2001",3829 people are currently reading,111174 people want to read,83 books14k followers,"65,706 (42%)","60,535 (38%)","22,318 (14%)","4,608 (2%)","2,421 (1%)"
227,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris," 4.07 avg rating — 357,943 ratings","score: 76,824",https://www.goodreads.com/book/show/28877.Red_Dragon,"A second family has been massacred by the terrifying serial killer the press has christened ""The Tooth Fairy."" Special Agent Jack Crawford turns to the one man who can help restart a failed investigation: Will Graham. Graham is the greatest profiler the FBI ever had, but the physical and mental scars of capturing Hannibal Lecter have caused Graham to go into early retirement. Now, Graham must turn to Lecter for help.","[{'Genre_list': 'Horror'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Thriller'}, {'Genre_list': 'Crime'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Mystery Thriller'}, {'Genre_list': 'Suspense'}]","454 pages, Hardcover","First published October 1, 1981",7636 people are currently reading,214808 people want to read,"33 books8,008 followers","132,304 (36%)","140,997 (39%)","66,357 (18%)","12,537 (3%)","5,745 (1%)"
228,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer," 4.13 avg rating — 984,469 ratings","score: 76,805",https://www.goodreads.com/book/show/36381037-cinder,"Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth’s fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg. She’s a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsister’s illness. But when her life becomes intertwined with the handsome Prince Kai’s, she suddenly finds herself at the center of an intergalactic struggle, and a forbidden attraction. Caught between duty and freedom, loyalty and betrayal, she must uncover secrets about her past in order to protect her world’s future.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Retellings'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Dystopia'}]","400 pages, Hardcover","First published January 3, 2012",20072 people are currently reading,981366 people want to read,107 books130k followers,"431,751 (43%)","333,767 (33%)","154,056 (15%)","41,552 (4%)","23,338 (2%)"
229,Shutter Island,Dennis Lehane," 4.13 avg rating — 211,351 ratings","score: 76,609",https://www.goodreads.com/book/show/21686.Shutter_Island,"The year is 1954. U.S. Marshal Teddy Daniels and his new partner, Chuck Aule, have come to Shutter Island, home of Ashecliffe Hospital for the Criminally Insane, to investigate the disappearance of a patient. Multiple murderess Rachel Solando is loose somewhere on this remote and barren island, despite having been kept in a locked cell under constant surveillance. As a killer hurricane relentlessly bears down on them, a strange case takes on even darker, more sinister shades—with hints of radical experimentation, horrifying surgeries, and lethal countermoves made in the cause of a covert shadow war. No one is going to escape Shutter Island unscathed, because nothing at Ashecliffe Hospital is what it seems. But then neither is Teddy Daniels.","[{'Genre_list': 'Mystery'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Thriller'}, {'Genre_list': 'Horror'}, {'Genre_list': 'Mystery Thriller'}, {'Genre_list': 'Crime'}, {'Genre_list': 'Suspense'}]","369 pages, Mass Market Paperback","First published April 13, 2003",4593 people are currently reading,181543 people want to read,83 books14k followers,"84,219 (39%)","83,385 (39%)","33,545 (15%)","7,123 (3%)","3,077 (1%)"
230,His Dark Materials (His Dark Materials #1-3),Philip Pullman," 4.29 avg rating — 166,091 ratings","score: 74,791",https://www.goodreads.com/book/show/18116.His_Dark_Materials,"The Golden Compass, The Subtle Knife, and The Amber Spyglass are available together in one volume perfect for any fan or newcomer to this modern fantasy classic series.These thrilling adventures tell the story of Lyra and Will—two ordinary children on a perilous journey through shimmering haunted otherworlds. They will meet witches and armored bears, fallen angels and soul-eating specters. And in the end, the fate of both the living—and the dead—will rely on them.Phillip Pullman’s spellbinding His Dark Materials trilogy has captivated readers for over twenty years and won acclaim at every turn. It will have you questioning everything you know about your world and wondering what really lies just out of reach.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Childrens'}, {'Genre_list': 'Science Fiction Fantasy'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Classics'}]","1088 pages, Mass Market Paperback","First published November 1, 2000",8382 people are currently reading,92435 people want to read,269 books25.1k followers,"88,871 (53%)","48,620 (29%)","19,867 (11%)","5,572 (3%)","3,161 (1%)"
231,1984,George Orwell," 4.20 avg rating — 5,140,229 ratings","score: 74,753",https://www.goodreads.com/book/show/61439040-1984,"A masterpiece of rebellion and imprisonment where war is peace freedom is slavery and Big Brother is watching. Thought Police, Big Brother, Orwellian - these words have entered our vocabulary because of George Orwell's classic dystopian novel 1984. The story of one man's Nightmare Odyssey as he pursues a forbidden love affair through a world ruled by warring states and a power structure that controls not only information but also individual thought and memory 1984 is a prophetic haunting tale More relevant than ever before 1984 exposes the worst crimes imaginable the destruction of truth freedom and individuality. With a foreword by Thomas Pynchon. This beautiful paperback edition features deckled edges and french flaps a perfect gift for any occasionAlternate cover edition can be found here.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Science Fiction'}, {'Genre_list': 'Dystopia'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Politics'}, {'Genre_list': 'Novels'}]","368 pages, Paperback","First published June 8, 1949",217968 people are currently reading,2733343 people want to read,"1,365 books48.3k followers","2,431,475 (47%)","1,689,465 (32%)","724,576 (14%)","192,209 (3%)","102,499 (1%)"
232,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire," 3.52 avg rating — 662,035 ratings","score: 74,439",https://www.goodreads.com/book/show/37442.Wicked,"Alternative cover edition of ISBN 9780060987107When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale, we heard only her side of the story. But what about her arch-nemesis, the mysterious witch? Where did she come from? How did she become so wicked? And what is the true nature of evil?  Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to be the infamous Wicked Witch of the West, a smart, prickly and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Adult'}, {'Genre_list': 'Retellings'}, {'Genre_list': 'Audiobook'}, {'Genre_list': 'Witches'}]","406 pages, Paperback","First published September 29, 1995",48311 people are currently reading,356896 people want to read,"61 books8,785 followers","163,986 (24%)","194,511 (29%)","171,659 (25%)","83,316 (12%)","48,561 (7%)"
233,Before I Go to Sleep,S.J. Watson," 3.90 avg rating — 355,769 ratings","score: 73,806",https://www.goodreads.com/book/show/9736930-before-i-go-to-sleep,"Memories define us.So what if you lost yours every time you went to sleep?Your name, your identity, your past, even the people you love - all forgotten overnight.And the one person you trust may only be telling you half the story.Welcome to Christine's life.","[{'Genre_list': 'Thriller'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Mystery'}, {'Genre_list': 'Book Club'}, {'Genre_list': 'Mystery Thriller'}, {'Genre_list': 'Suspense'}, {'Genre_list': 'Crime'}]","359 pages, Hardcover","First published October 1, 2011",7595 people are currently reading,347879 people want to read,"6 books4,069 followers","105,203 (29%)","141,150 (39%)","83,586 (23%)","19,634 (5%)","6,195 (1%)"
234,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare," 4.42 avg rating — 575,005 ratings","score: 73,775",https://www.goodreads.com/book/show/10025305-clockwork-prince,"In the magical underworld of Victorian London, Tessa Gray has at last found safety with the Shadowhunters. But that safety proves fleeting when rogue forces in the Clave plot to see her protector, Charlotte, replaced as head of the Institute. If Charlotte loses her position, Tessa will be out on the street—and easy prey for the mysterious Magister, who wants to use Tessa’s powers for his own dark ends.With the help of the handsome, self-destructive Will and the fiercely devoted Jem, Tessa discovers that the Magister’s war on the Shadowhunters is deeply personal. He blames them for a long-ago tragedy that shattered his life. To unravel the secrets of the past, the trio journeys from mist-shrouded Yorkshire to a manor house that holds untold horrors, from the slums of London to an enchanted ballroom where Tessa discovers that the truth of her parentage is more sinister than she had imagined. When they encounter a clockwork demon bearing a warning for Will, they realize that the Magister himself knows their every move—and that one of their own has betrayed them.Tessa finds her heart drawn more and more to Jem, but her longing for Will, despite his dark moods, continues to unsettle her. But something is changing in Will—the wall he has built around himself is crumbling. Could finding the Magister free Will from his secrets and give Tessa the answers about who she is and what she was born to do?As their dangerous search for the Magister and the truth leads the friends into peril, Tessa learns that when love and lies are mixed, they can corrupt even the purest heart.","[{'Genre_list': 'Fantasy'}, {'Genre_list': 'Young Adult'}, {'Genre_list': 'Romance'}, {'Genre_list': 'Paranormal'}, {'Genre_list': 'Steampunk'}, {'Genre_list': 'Historical Fiction'}, {'Genre_list': 'Urban Fantasy'}]","498 pages, Hardcover","First published December 6, 2011",7624 people are currently reading,272586 people want to read,195 books275k followers,"337,882 (58%)","164,368 (28%)","55,358 (9%)","11,470 (1%)","5,927 (1%)"
235,The Iliad / The Odyssey,Homer," 4.07 avg rating — 81,503 ratings","score: 73,622",https://www.goodreads.com/book/show/1375.The_Iliad_The_Odyssey,"Gripping listeners and readers for more than 2,700 years, 'The Iliad' is the story of the Trojan War and the rage of Achilles. Combining the skills of a poet and scholar, Robert Fagles brings the energy of contemporary language to this enduring heroic epic. If 'The Iliad' is the world's greatest war story, then 'The Odyssey' is literature's greatest evocation of every man's journey through life. Here again, Fagles has performed the translator's task magnificently, giving us an Odyssey to read aloud, to savor, and to treasure for its sheer lyrical mastery. Each volume contains a superb introduction with textual and critical commentary by renowned classicist Bernard Knox.","[{'Genre_list': 'Classics'}, {'Genre_list': 'Fiction'}, {'Genre_list': 'Poetry'}, {'Genre_list': 'Mythology'}, {'Genre_list': 'Fantasy'}, {'Genre_list': 'Literature'}, {'Genre_list': 'Historical Fiction'}]","1556 pages, Paperback","First published January 1, 801",7932 people are currently reading,74903 people want to read,"4,528 books6,637 followers","32,902 (40%)","27,768 (34%)","15,683 (19%)","3,750 (4%)","1,398 (1%)"
236,Schindler’s List,Thomas Keneally," 4.34 avg rating — 163,749 ratings","score: 73,506",https://www.goodreads.com/book/show/375013.Schindler_s_List,"In the shadow of Auschwitz, a flamboyant German industrialist grew into a living legend to the Jews of Cracow. He was a womaniser and a heavy drinker who enjoyed the good life, yet to them he became a saviour.Thomas Keneally's Booker Prize-winning novel recreates the story of Oskar Schindler, an Aryan who risked his life to protect Jews in Nazi-occupied Poland, who conrinually defied and outwitted the SS, and who was transformed by the war into an angel of mercy. It is an unforgettable tale, all the more extraordinary for being true.","[{'Genre_list': 'History'}, {'Genre_list': 'Nonfiction'}, {'Genre_list': 'Holocaust'}, {'Genre_list': 'War'}, {'Genre_list': 'Historical'}, {'Genre_list': 'World War II'}, {'Genre_list': 'Biography'}]","429 pages, Mass Market Paperback","First published October 18, 1982",3479 people are currently reading,219143 people want to read,"123 books1,188 followers","87,795 (53%)","51,871 (31%)","18,053 (11%)","3,758 (2%)","2,272 (1%)"
